"STATION","NAME","DATE","AWND","TAVG","TMAX","TMIN","TOBS"
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-27",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-28",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-29",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-30",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-07-31",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-01",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-02",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-03",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-04",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-05",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-06",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-07",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-08",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-09",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-10",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-11",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-12",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-13",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-14",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-15",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-16",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-17",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-18",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-19",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-20",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-21",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-22",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-23",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-24",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-25",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-26",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-27",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-28",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-29",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-30",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-08-31",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-01",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-02",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-03",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-04",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-05",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-06",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-07",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-08",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-09",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-10",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-11",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-12",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-13",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-14",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-15",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-16",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-17",,,,,
"US1MOJC0042","LEE S SUMMIT 1.4 WSW, MO US","2019-09-18",,,,,
